HomeTable,,,,
,Team,Goals against,Avg per game,Clean Sheets
1,Manchester United,7,0.41,12
2,Arsenal FC,11,0.65,8
3,Tottenham Hotspur FC ,12,0.71,8
4,Watford FC,15,0.88,8
5,Leicester City FC,17,0.94,9
6,Sunderland AFC,18,1.06,4
7,Swansea City FC,18,1.06,8
8,Manchester City FC,19,1.06,6
9,Southampton FC,19,1.12,6
10,West Ham United FC,20,1.18,6
11,Liverpool FC,21,1.24,5
12,Crystal Palace FC,22,1.22,6
13,Stoke City FC,22,1.29,5
14,West Bromwich Albion FC,22,1.29,5
15,Newcastle United FC ,23,1.35,4
16,Chelsea FC,27,1.59,3
17,Norwich City FC ,27,1.59,4
18,Everton FC,29,1.71,2
19,AFC Bournemouth,33,1.83,4
20,Aston Villa FC,35,1.94,3
